Mandat,Sous-mandat,X,Y,Commune,Remarque,Info,Type 1,Type 2,Type 3
8770,_05437,2596617,1123359,Grimisuat,,,SGV,Géotechnique,Infiltration
8771,_05438,2585045,1123343,Conthey,,,Dangers naturels,Géotechnique,na
8772,_05439,2606075,1124281,Chalais,,,Infiltration,na,na
8773,_05440,2585030,1111990,Isérables,,,Dangers naturels,na,na
8774,_05441,2598675,1122440,St-Léonard,,,Géotechnique,na,na
8775,_05442,2590051,1119404,Conthey,,,Infiltration,na,na
8776,_05443,2562574,1122503,Monthey,,,Polluants des bâtiments,na,na
8777,_05444,2584984,1111407,Riddes,,,Dangers naturels,na,na
8778,_05445,2589693,1115233,Nendaz,,,SGV,na,na
8779,_05446,2594719,1119167,Sion,,,Essais de plaque,na,na
8780,_05447,2609415,1126360,Sierre,,,Géotechnique,Dangers naturels,na
8781,_05448,2570639,1163079,Bulle,,EAC,Bruit,na,na
8782,_05449,2568693,1161958,Bulle,,EAC,Bruit,na,na
8783,_05450,2572838,1170938,Pont-en-Ogoz,,EAC,Bruit,na,na
8784,_05451,2605670,1106140,Evolène,,,Géotechnique,na,na
8785,_05452,2593068,1120444,Sion,,,Dangers naturels,na,na
8786,_05453,2604543,1106748,Evolène,,,Géothermie,na,na
8787,_05454,2596723,1119512,Sion,,,Dangers naturels,na,na
8788,_05455,2590713,1117432,Sion,,,Essais de plaque,na,na
8789,_05456,2559569,1144227,Montreux,,,Dangers naturels,na,na
8790,_05457,2587654,1119096,Vétroz,,,Infiltration,na,na
8791,_05458,2585777,1117209,Ardon,,,Hydrogéologie,na,na
8792,_05459,2582417,1112885,Riddes,,,Hydrogéologie,na,na
8793,_05460,2600785,1127324,Lens,,,SGV,na,na
8794,_05461,2579625,1116220,Leytron,,,SGV,na,na
8795,_05462,2575442,1110235,Fully,,,Infiltration,na,na
8796,_05463,2596542,1123328,Grimisuat,,,Infiltration,na,na
8797,_05464,2604499,1129203,Crans-Montana,,,Bruit,na,na
8798,_05465,2603860,1129260,Crans-Montana,,,Expertise,na,na
8799,_05466,2584354,1110035,Riddes,,,Dangers naturels,na,na
8800,_05467,2561860,1120690,Monthey,,,Géotechnique,na,na
8801,_05468,2606875,1131175,Crans-Montana,,,Géotechnique,na,na
8802,_05469,2555644,1145149,La Tour-de-Peilz,,,Géotechnique,na,na
8803,_05470,2592882,1120599,Sion,,,Essais de plaque,na,na
8804,_05471,2592368,1118490,Sion,,,Essais de plaque,na,na
8805,_05472,2613450,1112185,Anniviers,,,Dangers naturels,na,na
8806,_05473,2612590,1127692,Leuk,,,SER,na,na
8807,_05474,2601655,1129065,Icogne,,,Géotechnique,na,na
8808,_05475,2550393,1168995,Moudon,,,Expertise,na,na
8809,_05476,2596591,1114628,Hérémence,,,Dangers naturels,na,na
8810,_05477,2601226,1127495,Lens,,,SGV,na,na
8811,_05478,2594020,1119795,Sion,,,Géotechnique,na,na
8812,_05479,2578503,1109795,Saxon,,,Environnement,na,na
8813,_05480,2560322,1143248,Montreux,,,Géotechnique,na,na
8814,_05481,2570563,1124904,Gryon,,,Dangers naturels,na,na
8815,_05482,,,na,?,EAC,Bruit,na,na
8816,_05483,2596634,1109557,Hérémence,,,Géotechnique,na,na
8817,_05484,2582500,1115255,Leytron,,,Géotechnique,na,na
8818,_05485,2589045,1117993,Conthey,,,Infiltration,na,na
8819,_05486,2583450,1117157,Chamoson,,,Géotechnique,na,na
8820,_05487,2595937,1122838,Grimisuat,,,Géotechnique,Infiltration,na
8821,_05488,2553512,1165540,Ursy,,EAC,Bruit,na,na
8822,_05489,2573750,1170634,Pont-en-Ogoz,,EAC,Bruit,na,na
8823,_05490,2559041,1153318,Châtel-Saint-Denis,,EAC,Bruit,na,na
8824,_05491,2584447,1109694,Riddes,,,Dangers naturels,na,na
8825,_05492,2588527,1115024,Nendaz,,,Dangers naturels,na,na
8826,_05493,2594056,1116185,Sion,,,Bruit,Hydro,na
8827,_05494,2591913,1116154,Veysonnaz,,,Dangers naturels,na,na
8828,_05495,2596797,1114035,Hérémence,,,Géotechnique,na,na
8829,_05496,2600815,1125985,Lens,,,Géotechnique,na,na
8830,_05497,2597160,1124285,Ayent,,,Géotechnique,na,na
8831,_05498,2582340,1115429,Leytron,,,Essais de plaque,na,na
8832,_05499,2596459,1114187,Hérémence,,,Géotechnique,na,na
8833,_05500,2600209,1126269,Icogne,,,Dangers naturels,na,na
8834,_05501,2606124,1146781,na,,,Expertise,na,na
8835,_05502,2558290,1145575,Blonay - Saint-Légier,,,Géotechnique,na,na
8836,_05503,2560831,1204456,Neuchâtel,,EAC,Bruit,na,na
8837,_05504,2588528,1114912,Nendaz,,,Géotechnique,Dangers naturels,na
8838,_05505,2586771,1117531,Ardon,,,Infiltration,Géotechnique,na
8839,_05506,2583406,1116838,Chamoson,,,Infiltration,na,na
8840,_05507,2600312,1113502,St-Martin,,,Géotechnique,SGV,na
8841,_05508,2599889,1114325,St-Martin,,,Géotechnique,na,na
8842,_05509,2590049,1120804,Conthey,,,Infiltration,na,na
8843,_05510,2660190,1149475,Goms,,,Géothermie,na,na
8844,_05511,2598374,1125859,Ayent,,,Essais de plaque,na,na
8845,_05512,2561767,1127891,Aigle,,,Géotechnique,na,na
8846,_05513,2601320,1127200,Lens,,,Géotechnique,na,na
8847,_05514,2590785,1117540,Sion,,,Géotechnique,na,na
8848,_05515,2601186,1127447,Lens,,,Polluants des bâtiments,na,na
8849,_05516,2603245,1128661,Crans-Montana,,,Polluants des bâtiments,na,na
8850,_05517,2606923,1127333,Sierre,,,Polluants des bâtiments,na,na
8851,_05518,2581050,1115420,Leytron,,,Géotechnique,na,na
8852,_05519,2597402,1120159,Sion,,,Polluants des bâtiments,na,na
8853,_05520,2503774,1131117,Coppet,,,Géotechnique,na,na
8854,_05521,2572830,1157461,Bas-Intyamon,,EAC,Bruit,na,na
8855,_05522,2576263,1162543,Châtel-sur-Montsalvens,,EAC,Bruit,na,na
8856,_05523,2597735,1124990,Ayent,,,Géotechnique,na,na
8857,_05524,2590070,1116995,Nendaz,,,Géotechnique,na,na
8858,_05525,2601692,1128142,Lens,,,Polluants des bâtiments,na,na
8859,_05526,2595309,1112282,Hérémence,,,Infiltration,na,na
8860,_05527,2597180,1124825,Ayent,,,Géotechnique,na,na
8861,_05528,2600583,1124062,Lens,,,Géotechnique,na,na
8862,_05529,2587530,1118226,Vétroz,,,Essais de plaque,na,na
8863,_05530,2603109,1131765,Crans-Montana,,EAC,Bruit,na,na
8864,_05531,2557078,1152907,Remaufens,,EAC,Bruit,na,na
8865,_05532,2593470,1119855,Sion,,,Géotechnique,na,na
8866,_05533,2590810,1117315,Sion,,,Infiltration,na,na
8867,_05534,2570658,1173193,Gibloux,,EAC,Bruit,na,na
8868,_05535,2601225,1126387,Lens,,,Essais de plaque,na,na
8869,_05536,2507229,1162403,Le Chenit,,,Dangers naturels,na,na
8870,_05537,2596335,1125045,Arbaz,,,Géotechnique,na,na
8871,_05538,2580710,1113745,Saillon,,,Ebranlements géophone,na,na
8872,_05539,2580039,1113030,Saillon,,,Infiltration,na,na
8873,_05540,2554531,1146549,Vevey,,,Géotechnique,Environnement,na
8874,_05541,2598555,1112420,Hérémence,,,Infiltration,na,na
8875,_05542,2586865,1116980,Ardon,,,Géotechnique,PAC,Infiltration
8876,_05543,2592180,1122067,Savièse,,,Bruit,Infiltration,na
8877,_05544,2600945,1126875,Lens,,,Géotechnique,na,na
8878,_05545,2502799,1128702,Mies,,,Infiltration,na,na
8879,_05546,2602801,1128456,Crans-Montana,,,Polluants des bâtiments,na,na
8880,_05547,2594151,1122420,Savièse,,,Environnement,na,na
8881,_05548,2588010,1116820,Vétroz,,,Géotechnique,Infiltration,na
8882,_05549,2604157,1129040,Crans-Montana,,,Environnement,Géotechnique,Infiltration
8883,_05550,2597287,1122933,Ayent,,,Infiltration,na,na
8884,_05551,2580345,1110716,Saxon,,,Infiltration,na,na
8885,_05552,2590695,1103177,Nendaz,,,Géotechnique,Dangers naturels,na
8886,_05553,2561414,1204698,Neuchâtel,,EAC,Bruit,na,na
8887,_05554,2570740,1110419,Dorénaz,,EAC,Bruit,na,na
8888,_05555,2584916,1115702,Chamoson,,,Infiltration,na,na
8889,_05556,2600945,1126880,Lens,,,Géotechnique,na,na
8890,_05557,2580190,1113290,Saillon,,,Infiltration,na,na
8891,_05558,2583906,1112231,Riddes,,,Environnement,na,na
8892,_05559,2558922,1185208,Cugy (FR),,EAC,Acoustique,na,na
8893,_05560,2592172,1122139,Savièse,,,Infiltration,na,na
8894,_05561,2571826,1158883,na,,EAC,Bruit,na,na
8895,_05562,2558272,1146696,Blonay - Saint-Légier,,,Infiltration,na,na
8896,_05563,2586541,1117437,Ardon,,,Infiltration,na,na
8897,_05564,2591810,1119254,Sion,,,Dangers naturels,na,na
8898,_05565,2585095,1111910,Isérables,,,Géotechnique,Dangers naturels,na
8899,_05566,2591941,1245207,na,,,Bruit,na,na
8900,_05567,2526976,1167777,Ferreyres,,,Géotechnique,na,na
8901,_05568,2595537,1122895,Grimisuat,,,Infiltration,na,na
8902,_05569,2572915,1159762,Gruyère,,EAC,Bruit,na,na
8903,_05570,2548883,1201149,Rochefort,,EAC,Dangers naturels,na,na
8904,_05571,2607145,1127849,Noble-Contrée,,,Environnement,na,na
8905,_05572,2601815,1121190,Grône,,,Géotechnique,na,na
8906,_05573,2587310,1118625,Vétroz,,,Infiltration,na,na
8907,_05574,2587930,1113540,Nendaz,,,Géotechnique,na,na
8908,_05575,2601795,1126541,Lens,,,Géothermie,na,na
8909,_05576,2583503,1113234,Riddes,,,Infiltration,na,na
8910,_05577,2577340,1111180,Fully,,,Géotechnique,Infiltration,Sol
8911,_05578,2587232,1105572,Riddes,,,SER,na,na
8912,_05579,2589805,1121225,Conthey,,,Géotechnique,na,na
8913,_05580,2561020,1141822,Montreux,,,Dangers naturels,na,na
8914,_05581,2604609,1106691,Evolène,,,Hydraulique,Géothermie,na
8915,_05582,2588430,1118330,Vétroz,,,Géotechnique,Infiltration,na
8916,_05583,2600290,1113450,St-Martin,,,Géotechnique,na,na
