Mandat,Sous-mandat,X,Y,Commune,Remarque,Info,Type 1,Type 2,Type 3
302,_00001,2590443,1119333,Sion,,,na,na,na
304,_00002,2534578,1154572,Renens (VD),,,na,na,na
307,_00003,2593854,1120239,Sion,,,na,na,na
308,_00004,2534497,1152365,Saint-Sulpice (VD),,,na,na,na
319,_00005,2570657,1106956,Martigny,,,na,na,na
320,_01397,,,na,,,na,na,na
321,_01398,,,na,,,na,na,na
322,_00006,2564159,1102320,Trient,,,na,na,na
323,_00007,2539538,1151582,Pully,,,na,na,na
330,_00008,2596748,1123379,Ayent,,,na,na,na
348,_00009,2614895,1131174,Albinen,,,na,na,na
357,_00010,2540144,1154296,Lausanne,,,na,na,na
361,_00011,2540138,1154290,Lausanne,,,na,na,na
373,_00012,2603869,1135422,Crans-Montana,,,na,na,na
374,_00013,2563830,1102011,Trient,,,na,na,na
375,_00014,2570671,1106937,Martigny,,,na,na,na
384,_00015,2563835,1102016,Trient,,,na,na,na
415,_00016,2563835,1102010,Trient,,,na,na,na
423,_00017,2583149,1109650,Riddes,,,na,na,na
439,_00018,2538467,1153896,Lausanne,,,na,na,na
450,_00019,2553626,1137350,St-Gingolph,,,na,na,na
455,_00020,2541526,1150819,Lutry,,,na,na,na
466,_00021,2569883,1108700,Martigny,,,na,na,na
468,_00022,2597873,1123874,Ayent,,,na,na,na
470,_00023,2590823,1118771,Sion,,,na,na,na
475,_00024,2594810,1120532,Sion,,,na,na,na
496,_00025,2540141,1154289,Lausanne,,,na,na,na
497,_00026,2594482,1120308,Sion,,,na,na,na
501,_00027,2558646,1120582,Troistorrents,,,na,na,na
507,_00028,2587685,1123819,Conthey,,,na,na,na
513,_00029,2598515,1122749,St-Léonard,,,na,na,na
519,_00030,2594169,1120010,Sion,,,na,na,na
522,_00031,2541417,1151756,Belmont-sur-Lausanne,,,na,na,na
537,_00032,2583755,1104589,Val de Bagnes,,,na,na,na
552,_00033,2625460,1095774,Zermatt,,,na,na,na
561,_00034,2598427,1121074,Sion,,,na,na,na
569,_00035,2541530,1150817,Lutry,,,na,na,na
574,_00036,2529898,1162151,Penthalaz,,,na,na,na
577,_00037,2529901,1162147,Penthalaz,,,na,na,na
578,_00038,2569890,1108706,Martigny,,,na,na,na
587,_00039,2607174,1127109,Sierre,,,na,na,na
591,_00040,2561167,1138410,Villeneuve (VD),,,na,na,na
594,_00041,2565097,1206906,na,,,na,na,na
596,_00042,2541537,1161994,Froideville,,,na,na,na
600,_00043,2604553,1129048,Crans-Montana,,,na,na,na
603,_00044,2566499,1191564,na,,,na,na,na
603,_00045,2566183,1191957,na,,,na,na,na
605,_00046,2563245,1122566,Monthey,,,na,na,na
608,_00047,2603027,1131510,Lens,,,na,na,na
616,_00048,2606695,1131245,Crans-Montana,,,na,na,na
628,_00049,2586986,1118879,Vétroz,,,na,na,na
630,_00050,2603852,1135422,Crans-Montana,,,na,na,na
631,_00051,2582131,1099991,Val de Bagnes,,,na,na,na
634,_00052,2562409,1152465,na,,,na,na,na
640,_00053,2503221,1140551,Gingins,,,na,na,na
643,_00054,2594372,1120967,Sion,,,na,na,na
649,_00055,2605352,1125382,Sierre,,,na,na,na
650,_00056,2593631,1119705,Sion,,,na,na,na
659,_00057,2586237,1185423,na,,,na,na,na
665,_00058,2590589,1109231,Nendaz,,,na,na,na
667,_00059,2555137,1145306,Vevey,,,na,na,na
669,_00060,2588549,1115052,Nendaz,,,na,na,na
672,_00061,2633654,1120594,Stalden,,,na,na,na
673,_00062,2560964,1141782,Montreux,,,na,na,na
677,_00063,2588552,1115049,Nendaz,,,na,na,na
681,_00064,2529878,1161924,Penthalaz,,,na,na,na
690,_00065,2535859,1153759,Prilly,,,na,na,na
693,_00066,2588655,1114382,Nendaz,,,na,na,na
694,_00067,2578587,1116853,Leytron,,,na,na,na
696,_00068,2511774,1146009,Gilly,,,na,na,na
698,_00069,2583607,1105664,Val de Bagnes,,,na,na,na
703,_00070,2642454,1130576,Naters,,,na,na,na
706,_00071,2593597,1120675,Sion,,,na,na,na
708,_00072,2592463,1114783,Nendaz,,,na,na,na
709,_00073,2542236,1151219,Lutry,,,na,na,na
714,_00074,2561088,1133813,Roche (VD),,,na,na,na
720,_00075,2576175,1146960,Château-d'Oex,,,na,na,na
724,_00076,2597266,1126957,Ayent,,,Géotechnique,na,na
727,_00077,2535037,1153245,Renens (VD),,,na,na,na
728,_00078,2560739,1141412,Montreux,,,na,na,na
731,_00079,2585768,1117357,Ardon,,,na,na,na
734,_00080,2610986,1119076,Anniviers,,,na,na,na
742,_00081,2602756,1124086,Sierre,,,na,na,na
1002,_00082,2541532,1150815,Lutry,,Emplacement à vérifier ,na,na,na
1004,_00083,2592463,1114776,Nendaz,,,Géotechnique,na,na
1021,_00084,2560739,1141412,Montreux,,,Géotechnique,na,na
1025,_00085,2594087,1119995,Sion,,,Géotechnique,na,na
1030,_00086,2601967,1128558,Lens,,Emplacement à vérifier ,na,na,na
1031,_00087,2606428,1129526,Crans-Montana,,Emplacement à vérifier ,Hydrogéologie,na,na
1034,_00088,2601957,1128555,Lens,,,Géotechnique,na,na
1035,_00089,2516332,1148208,Bougy-Villars,,Emplacement à vérifier ,Géotechnique,na,na
1036,_00090,2593697,1119881,Sion,,Emplacement à vérifier ,na,na,na
1040,_00091,2575997,1108427,Martigny,,Emplacement à vérifier ,na,na,na
1064,_00092,2593883,1119454,Sion,,Emplacement à vérifier ,Géotechnique,na,na
1107,_00093,2606989,1126679,Sierre,,,Géotechnique,na,na
1148,_00094,2593848,1119415,Sion,,,Géotechnique,na,na
1236,_00095,2568944,1109872,Vernayaz,,,Géotechnique,na,na
1460,_00096,2569425,1109134,Vernayaz,,,Géotechnique,na,na
1711,_00097,2591970,1118383,Sion,,,Géotechnique,na,na
1797,_00098,2599900,1126071,Icogne,,Emplacement à vérifier ,Géotechnique,na,na
2011,_00099,2589519,1118275,Conthey,,,Géotechnique,na,na
2012,_00100,2595999,1113400,Hérémence,,,Géotechnique,na,na
2012,_00101,2597099,1113000,Hérémence,,,Géotechnique,na,na
2016,_00102,2593219,1120460,Sion,,,Géotechnique,na,na
2018,_00103,2634650,1127050,Visp,,,Géotechnique,na,na
2019,_00104,2594959,1120440,Sion,,,Géotechnique,na,na
2024,_00105,2560620,1135120,Roche (VD),,,na,na,na
2028,_00106,2556320,1177250,na,,,na,na,na
2034,_00107,2569199,1108200,Vernayaz,,,Géotechnique,na,na
2039,_00108,2588922,1114833,Nendaz,,,Géotechnique,na,na
2039,_00109,2588919,1114820,Nendaz,,,Géotechnique,na,na
2046,_00110,2602349,1118045,Mont-Noble,,,na,na,na
2046,_00111,2602569,1118390,Mont-Noble,,,na,na,na
2046,_00112,2602709,1118540,Mont-Noble,,,na,na,na
2046,_00113,2602729,1118980,Mont-Noble,,,na,na,na
2046,_00114,2602481,1118994,Mont-Noble,,,na,na,na
2046,_00115,2602029,1118750,Mont-Noble,,,na,na,na
2046,_00116,2602109,1118580,Mont-Noble,,,na,na,na
2046,_00117,2602999,1118900,Mont-Noble,,,na,na,na
2046,_00118,2602479,1119248,Mont-Noble,,,na,na,na
2046,_00119,2602433,1119225,Mont-Noble,,,na,na,na
2046,_00120,2602387,1119357,Mont-Noble,,,na,na,na
2046,_00121,2602263,1119415,Mont-Noble,,,na,na,na
2046,_00122,2595449,1113145,Vex,,,na,na,na
2046,_00123,2595459,1113165,Vex,,,na,na,na
2046,_00124,2595499,1113120,Vex,,,na,na,na
2046,_00125,2595524,1113170,Vex,,,na,na,na
2046,_00126,2595864,1113570,Vex,,,na,na,na
2046,_00127,2595909,1113705,Vex,,,na,na,na
2046,_00128,2595874,1114020,Vex,,,na,na,na
2046,_00129,2595959,1113995,Vex,,,na,na,na
2046,_00130,2595949,1114055,Vex,,,na,na,na
2046,_00131,2595969,1114140,Vex,,,na,na,na
2046,_00132,2596534,1116470,Vex,,,na,na,na
2046,_00133,2596499,1116500,Vex,,,na,na,na
2046,_00134,2596434,1116600,Vex,,,na,na,na
2046,_00135,2596399,1116675,Vex,,,na,na,na
2046,_00136,2595224,1113015,Vex,,,na,na,na
2046,_00137,2595224,1112950,Vex,,,na,na,na
2046,_00138,2595224,1112875,Vex,,,na,na,na
2046,_00139,2595289,1114595,Vex,,,na,na,na
2046,_00140,2595234,1114635,Vex,,,na,na,na
2046,_00141,2593304,1114650,Nendaz,,,na,na,na
2046,_00142,2595599,1114740,Vex,,,na,na,na
2046,_00143,2595649,1114650,Vex,,,na,na,na
2046,_00144,2595574,1114675,Vex,,,na,na,na
2046,_00145,2595234,1114510,Vex,,,na,na,na
2046,_00146,2595399,1114350,Vex,,,na,na,na
2046,_00147,2595274,1114300,Vex,,,na,na,na
2046,_00148,2595449,1114225,Vex,,,na,na,na
2046,_00149,2595474,1114150,Vex,,,na,na,na
2046,_00150,2595399,1114160,Vex,,,na,na,na
2046,_00151,2595159,1114460,Vex,,,na,na,na
2046,_00152,2595074,1114500,Vex,,,na,na,na
2046,_00153,2594949,1114530,Vex,,,na,na,na
2046,_00154,2594959,1114430,Vex,,,na,na,na
2046,_00155,2594589,1114150,Sion,,,na,na,na
2046,_00156,2594859,1113825,Vex,,,na,na,na
2046,_00157,2595374,1117110,Sion,,,na,na,na
2046,_00158,2595759,1117640,Vex,,,na,na,na
2046,_00159,2596764,1117330,Vex,,,na,na,na
2046,_00160,2596799,1117430,Vex,,,na,na,na
2046,_00161,2592869,1115650,Nendaz,,,na,na,na
2046,_00162,2593049,1114550,Nendaz,,,na,na,na
2046,_00163,2593779,1115990,Sion,,,na,na,na
2046,_00164,2593109,1116000,Sion,,,na,na,na
2046,_00165,2592339,1115980,Veysonnaz,,,na,na,na
2046,_00166,2593564,1112320,Nendaz,,,na,na,na
2046,_00167,2593579,1112355,Nendaz,,,na,na,na
2046,_00168,2593679,1112395,Nendaz,,,na,na,na
2046,_00169,2593769,1112420,Nendaz,,,na,na,na
2046,_00170,2593809,1112420,Nendaz,,,na,na,na
2046,_00171,2593869,1112470,Nendaz,,,na,na,na
2046,_00172,2593649,1112515,Nendaz,,,na,na,na
2046,_00173,2593809,1112500,Nendaz,,,na,na,na
2046,_00174,2593859,1112540,Nendaz,,,na,na,na
2046,_00175,2592599,1116500,Veysonnaz,,,na,na,na
2046,_00176,2592679,1116800,Sion,,,na,na,na
2046,_00177,2596139,1113790,Hérémence,,,na,na,na
2046,_00178,2596049,1114185,Hérémence,,,na,na,na
2046,_00179,2596499,1114480,Hérémence,,,na,na,na
2046,_00180,2596464,1114400,Hérémence,,,na,na,na
2046,_00181,2596494,1114185,Hérémence,,,na,na,na
2046,_00182,2596929,1114350,Hérémence,,,na,na,na
2046,_00183,2596679,1113300,Hérémence,,,na,na,na
2046,_00184,2596369,1112570,Hérémence,,,na,na,na
2046,_00185,2596429,1112370,Hérémence,,,na,na,na
2046,_00186,2595759,1112540,Hérémence,,,na,na,na
2046,_00187,2595799,1112370,Hérémence,,,na,na,na
2046,_00188,2596049,1111355,Hérémence,,,na,na,na
2046,_00189,2598809,1113040,Hérémence,,,na,na,na
2046,_00190,2598659,1113095,Hérémence,,,na,na,na
2046,_00191,2599119,1112170,St-Martin,,,na,na,na
2046,_00192,2601789,1114583,St-Martin,,,na,na,na
2046,_00193,2600499,1113965,St-Martin,,,na,na,na
2046,_00194,2600974,1113565,St-Martin,,,na,na,na
2046,_00195,2601234,1113470,St-Martin,,,na,na,na
2046,_00196,2602519,1113300,St-Martin,,,na,na,na
2046,_00197,2602519,1113270,St-Martin,,,na,na,na
2046,_00198,2600409,1113740,St-Martin,,,na,na,na
2046,_00199,2601039,1113460,St-Martin,,,na,na,na
2046,_00200,2601114,1113435,St-Martin,,,na,na,na
2046,_00201,2602564,1112100,St-Martin,,,na,na,na
2046,_00202,2602519,1112065,St-Martin,,,na,na,na
2046,_00203,2600719,1117440,Mont-Noble,,,na,na,na
2046,_00204,2601279,1117380,Mont-Noble,,,na,na,na
2046,_00205,2601179,1117660,Mont-Noble,,,na,na,na
2046,_00206,2601169,1117530,Mont-Noble,,,na,na,na
2046,_00207,2603092,1116278,Mont-Noble,,,na,na,na
2046,_00208,2599982,1116631,Mont-Noble,,,na,na,na
2046,_00209,2600166,1116455,Mont-Noble,,,na,na,na
2046,_00210,2599769,1116393,Mont-Noble,,,na,na,na
2046,_00211,2599792,1116367,Mont-Noble,,,na,na,na
2046,_00212,2600707,1116291,Mont-Noble,,,na,na,na
2046,_00213,2602114,1115927,Mont-Noble,,,na,na,na
2046,_00214,2599574,1115965,Mont-Noble,,,na,na,na
2046,_00215,2603594,1117070,Mont-Noble,,,na,na,na
2046,_00216,2603279,1116695,Mont-Noble,,,na,na,na
2048,_00217,2583739,1104070,Val de Bagnes,,,Géotechnique,na,na
2054,_00218,2596965,1113420,Hérémence,,,Géotechnique,na,na
2054,_00219,2597196,1113916,Hérémence,,,Géotechnique,na,na
2054,_00220,2597273,1114663,Hérémence,,,Géotechnique,na,na
2054,_00221,2596565,1115168,Hérémence,,,Géotechnique,na,na
2054,_00222,2597302,1115562,Hérémence,,,Géotechnique,na,na
2054,_00223,2597206,1115508,Hérémence,,,Géotechnique,na,na
2054,_00224,2596279,1114623,Hérémence,,,Géotechnique,na,na
2057,_00225,2540350,1152390,Pully,,,na,na,na
2062,_00226,2595369,1121400,Sion,,,Géotechnique,na,na
2063,_00227,2597400,1124000,Ayent,,,Géologie,na,na
2065,_00228,2568934,1109615,Vernayaz,,,Géotechnique,na,na
2065,_00229,2568919,1109615,Vernayaz,,,Géotechnique,na,na
2066,_00230,2598539,1122490,St-Léonard,,,Géotechnique,na,na
2067,_00231,2593639,1119960,Sion,,,Géotechnique,na,na
2068,_00232,2594989,1119590,Sion,,,Géotechnique,na,na
2068,_00233,2595049,1119560,Sion,,,Géotechnique,na,na
2072,_00234,2592679,1116080,Veysonnaz,,,Géotechnique,na,na
2073,_00235,2607140,1126180,Sierre,,,Géotechnique,na,na
2075,_00236,2594879,1119300,Sion,,,Géotechnique,na,na
2077,_00237,2589749,1119040,Conthey,,,Géotechnique,na,na
2078,_00238,2560350,1135200,Roche (VD),,,Géotechnique,na,na
2078,_00239,2560530,1136220,Rennaz,,,Géotechnique,na,na
2078,_00240,2560630,1136570,Rennaz,,,Géotechnique,na,na
2078,_00241,2560660,1136700,Rennaz,,,Géotechnique,na,na
2078,_00242,2560780,1137120,Villeneuve (VD),,,Géotechnique,na,na
2078,_00243,2561080,1138095,Villeneuve (VD),,,Géotechnique,na,na
2078,_00244,2561050,1138340,Villeneuve (VD),,,Géotechnique,na,na
2081,_00245,2597820,1125220,Ayent,,,Géotechnique,na,na
2085,_00246,2589319,1120280,Conthey,,,Géotechnique,na,na
2086,_00247,2573299,1106700,Martigny,,,Géotechnique,na,na
2086,_00248,2577039,1109940,Fully,,,Géotechnique,na,na
2100,_00249,2560475,1138160,Villeneuve (VD),,,Géotechnique,na,na
2101,_00250,2594559,1119800,Sion,,,Géotechnique,na,na
2103,_00251,2582099,1105550,Val de Bagnes,,,Géotechnique,na,na
2104,_00252,2614520,1136400,Leukerbad,,,Géotechnique,na,na
2105,_00253,2575004,1108240,Fully,,,Géotechnique,na,na
2105,_00254,2575179,1108300,Fully,,,Géotechnique,na,na
2105,_00255,2575299,1108310,Martigny,,,Géotechnique,na,na
2105,_00256,2575399,1108340,Martigny,,,Géotechnique,na,na
2105,_00257,2575519,1108400,Martigny,,,Géotechnique,na,na
2109,_00258,2642980,1131150,Naters,,,Géologie,na,na
2110,_00259,2586759,1106880,Riddes,,,Géologie,na,na
2110,_00260,2629460,1118020,Embd,,,Géologie,na,na
2110,_00261,2562874,1102690,Finhaut,,,Géologie,na,na
2115,_00262,2589739,1118330,Conthey,,,Géotechnique,na,na
2115,_00263,2589639,1118280,Conthey,,,Géotechnique,na,na
2120,_00264,2593329,1119820,Sion,,,Géotechnique,na,na
2132,_00265,2598150,1123550,Ayent,,,Géotechnique,na,na
2138,_00266,2592769,1119800,Sion,,,Géotechnique,na,na
2139,_00267,2593299,1117180,Sion,,,Géotechnique,na,na
2139,_00268,2593099,1116350,Sion,,,Géotechnique,na,na
2143,_00269,2600152,1113794,St-Martin,,,Géotechnique,na,na
2150,_00270,2597920,1126180,Ayent,,,Géotechnique,na,na
2152,_00271,2593279,1118550,Sion,,,Géotechnique,na,na
2153,_00272,2590415,1119144,Sion,,,Géotechnique,na,na
2153,_00273,2590749,1119170,Sion,,,Géotechnique,na,na
2154,_00274,2594959,1120258,Sion,,,Géotechnique,na,na
2154,_00275,2594989,1120250,Sion,,,Géotechnique,na,na
2156,_00276,2581966,1114556,Leytron,,,Géotechnique,na,na
2156,_00277,2581979,1114560,Leytron,,,Géotechnique,na,na
2157,_00278,2594228,1121995,Savièse,,,Géologie,na,na
2158,_00279,2594741,1117471,Sion,,,Géotechnique,na,na
2158,_00280,2594699,1117400,Sion,,,Géotechnique,na,na
2159,_00281,2594842,1119857,Sion,,,Géotechnique,na,na
2159,_00282,2594839,1119840,Sion,,,Géotechnique,na,na
2160,_00283,2585336,1112429,Isérables,,,Géologie,na,na
2160,_00284,2585239,1112680,Isérables,,,Géologie,na,na
2160,_00285,2585239,1112500,Isérables,,,Géologie,na,na
2167,_00286,2562519,1122620,Monthey,,,na,na,na
2168,_00287,2562467,1122584,Monthey,,,na,na,na
2168,_00288,2562499,1122600,Monthey,,,na,na,na
2181,_00289,2578159,1110000,Saxon,,,Géotechnique,na,na
2181,_00290,2578219,1110040,Saxon,,,Géotechnique,na,na
2182,_00291,2586926,1117908,Vétroz,,,Géotechnique,na,na
2182,_00292,2588819,1117190,Vétroz,,,Géotechnique,na,na
2182,_00293,2589459,1116820,Nendaz,,,Géotechnique,na,na
2184,_00294,2578937,1110346,Saxon,,,Hydrogéologie,na,na
2184,_00295,2578959,1110380,Saxon,,,Hydrogéologie,na,na
2185,_00296,2596500,1127950,Arbaz,,,Géologie,na,na
2187,_00297,2594404,1117332,Sion,,,Hydrogéologie,na,na
2192,_00298,2594049,1119990,Sion,,,Géotechnique,na,na
2198,_00299,2597278,1111229,Hérémence,,,Géotechnique,na,na
2198,_00300,2597399,1111450,Hérémence,,,Géotechnique,na,na
2199,_00301,2594529,1119860,Sion,,,Géotechnique,na,na
2200,_00302,2575009,1097680,Orsières,,,Géotechnique,na,na
2202,_00303,2594259,1120160,Sion,,,Géotechnique,na,na
2205,_00304,2596331,1123782,Grimisuat,,,Hydrogéologie,na,na
2205,_00305,2596360,1123780,Grimisuat,,,Hydrogéologie,na,na
2206,_00306,2589219,1116482,Nendaz,,,Géologie,na,na
2207,_00307,2592541,1119519,Sion,,,Géotechnique,na,na
2207,_00308,2592539,1119520,Sion,,,Géotechnique,na,na
2208,_00309,2595019,1120420,Sion,,,Géotechnique,na,na
2209,_00310,2609299,1113400,Anniviers,,,Géotechnique,na,na
2213,_00311,2565424,1116619,St-Maurice,,,Géologie,na,na
2213,_00312,2597999,1107150,Hérémence,,,Géologie,na,na
2217,_00313,2600724,1114150,St-Martin,,,na,na,na
2231,_00314,2574649,1109060,Fully,,,Géotechnique,na,na
2235,_00315,2565479,1116660,St-Maurice,,,Géologie,na,na
2239,_00316,2599419,1115930,Mont-Noble,,,Géotechnique,na,na
2240,_00317,2587916,1110454,Isérables,,,Géologie,na,na
2240,_00318,2587899,1110500,Isérables,,,Géologie,na,na
2241,_00319,2594789,1119760,Sion,,,Géotechnique,na,na
2242,_00320,2574904,1109440,Fully,,,Géotechnique,na,na
2243,_00321,2576469,1097620,Orsières,,,Géotechnique,na,na
2245,_00322,2583554,1113990,Riddes,,,Géotechnique,na,na
2246,_00323,2597475,1125150,Ayent,,,Géotechnique,na,na
2247,_00324,2581579,1118560,Chamoson,,,Géologie,na,na
2247,_00325,2581615,1118547,Chamoson,,,Géologie,na,na
2248,_00326,2596739,1127294,Ayent,,,Géotechnique,na,na
2248,_00327,2596750,1127300,Ayent,,,Géotechnique,na,na
2249,_00328,2594129,1121243,Sion,,,Géologie,na,na
2262,_00329,2580287,1112638,Saillon,,,Géotechnique,na,na
2262,_00330,2592709,1119440,Sion,,,Géotechnique,na,na
2263,_00331,2583770,1105916,Val de Bagnes,,,Géotechnique,na,na
2264,_00332,2580291,1112640,Saillon,,,Géotechnique,na,na
2264,_00333,2580319,1112650,Saillon,,,Géotechnique,na,na
2265,_00334,2601692,1123618,Sierre,,,Géotechnique,na,na
2265,_00335,2601839,1123540,Sierre,,,Géotechnique,na,na
2267,_00336,2594268,1120175,Sion,,,Géologie,na,na
2269,_00337,2569106,1109370,Vernayaz,,,Géotechnique,na,na
2269,_00338,2569099,1109360,Vernayaz,,,Géotechnique,na,na
2270,_00339,2551768,1137876,St-Gingolph,,,Hydrogéologie,na,na
2270,_00340,2551754,1137880,St-Gingolph,,,Hydrogéologie,na,na
2271,_00341,2579945,1110181,Saxon,,,Hydrogéologie,na,na
2271,_00342,2579939,1110200,Saxon,,,Hydrogéologie,na,na
2272,_00343,2592466,1117231,Sion,,,Géotechnique,na,na
2278,_00344,2593549,1120025,Sion,,,Géotechnique,na,na
2279,_00345,2558574,1129250,Vionnaz,,,Géotechnique,na,na
2281,_00346,2583293,1105693,Val de Bagnes,,,Géotechnique,na,na
2281,_00347,2583308,1105666,Val de Bagnes,,,Géotechnique,na,na
2283,_00348,2597271,1114526,Hérémence,,,Géotechnique,na,na
2285,_00349,2584927,1113845,Riddes,,,Géologie,na,na
2285,_00350,2585389,1113323,Isérables,,,Géologie,na,na
2285,_00351,2585614,1111583,Isérables,,,Géologie,na,na
2286,_00352,2583607,1105038,Val de Bagnes,,,Géotechnique,na,na
2288,_00353,2574571,1113296,Fully,,,Géotechnique,na,na
2289,_00354,2605958,1107885,Evolène,,,Géotechnique,na,na
2290,_00355,2584983,1111921,Isérables,,,Géotechnique,na,na
2292,_00356,2554218,1113927,Champéry,,,Géotechnique,na,na
2292,_00357,2554207,1113919,Champéry,,,Géotechnique,na,na
2293,_00358,2593907,1120518,Sion,,,Géotechnique,na,na
2293,_00359,2593908,1120527,Sion,,,Géotechnique,na,na
2293,_00360,2593926,1120481,Sion,,,Géotechnique,na,na
2297,_00361,2618738,1128717,Leuk,,,Géotechnique,na,na
2298,_00362,2588040,1119223,Vétroz,,,Géotechnique,na,na
2298,_00363,2588041,1119223,Vétroz,,,Géotechnique,na,na
2299,_00364,2593815,1119745,Sion,,,Géotechnique,na,na
2299,_00365,2593757,1119747,Sion,,,Géotechnique,na,na
2299,_00366,2593797,1119727,Sion,,,Géotechnique,na,na
2300,_00367,2589321,1118566,Conthey,,,Géotechnique,na,na
2300,_00368,2589349,1118565,Conthey,,,Géotechnique,na,na
2301,_00369,2609637,1131217,Crans-Montana,,,Géologie,na,na
2305,_00370,2600069,1114992,St-Martin,,,Géotechnique,na,na
2307,_00371,2607145,1128680,Noble-Contrée,,,Géotechnique,na,na
2308,_00372,2599965,1114346,St-Martin,,,Géotechnique,na,na
2308,_00373,2599975,1114352,St-Martin,,,Géotechnique,na,na
2309,_00374,2597098,1114571,Hérémence,,,Géologie,na,na
2310,_00375,2597299,1114040,Hérémence,,,Géotechnique,na,na
2311,_00376,2596754,1128648,Ayent,,,Géotechnique,na,na
2312,_00377,2592018,1118285,Sion,,,Géotechnique,na,na
2313,_00378,2572630,1105910,Martigny,,,Géotechnique,na,na
2315,_00379,2584524,1117274,Chamoson,,,Géologie,na,na
2317,_00380,2588828,1114627,Nendaz,,,Géotechnique,na,na
2320,_00381,2592676,1116069,Veysonnaz,,,Géotechnique,na,na
2322,_00382,2598293,1114961,St-Martin,,,Hydrogéologie,na,na
2323,_00383,2583075,1108300,Saxon,,,Hydrogéologie,na,na
2324,_00384,2598110,1110259,Hérémence,,,Hydrogéologie,na,na
2328,_00385,2584065,1112389,Riddes,,,Géotechnique,na,na
2329,_00386,2580273,1095368,Liddes,,,Hydrogéologie,na,na
2330,_00387,2614865,1136216,Leukerbad,,,Hydrogéologie,na,na
2332,_00388,2585823,1117810,Ardon,,,Géologie,na,na
2332,_00389,2585692,1117848,Ardon,,,Géologie,na,na
2332,_00390,2585674,1117863,Ardon,,,Géologie,na,na
2335,_00391,2592048,1119226,Sion,,,Géotechnique,na,na
2336,_00392,2597906,1124445,Ayent,,,Géologie,na,na
2336,_00393,2598021,1124653,Ayent,,,Géologie,na,na
2337,_00394,2597908,1125574,Ayent,,,Géotechnique,na,na
2338,_00395,2592990,1119969,Sion,,,Géotechnique,na,na
2340,_00396,2569425,1109107,Vernayaz,,,Géotechnique,na,na
2341,_00397,2583791,1103877,Val de Bagnes,,,Géotechnique,na,na
2342,_00398,2580691,1110897,Saxon,,,Géotechnique,na,na
2347,_00399,2538114,1181456,Yverdon-les-Bains,,,Géotechnique,na,na
2348,_00400,2569569,1211060,na,,,Géotechnique,na,na
2349,_00401,2552489,1132875,Vouvry,,,Hydrogéologie,na,na
2349,_00402,2552539,1132880,Vouvry,,,Hydrogéologie,na,na
2349,_00403,2553819,1132600,Vouvry,,,Hydrogéologie,na,na
2349,_00404,2554354,1131990,Vouvry,,,Hydrogéologie,na,na
2349,_00405,2553899,1131485,Vouvry,,,Hydrogéologie,na,na
2349,_00406,2553879,1131490,Vouvry,,,Hydrogéologie,na,na
2349,_00407,2556095,1132500,Vouvry,,,Hydrogéologie,na,na
2349,_00408,2556280,1131540,Vouvry,,,Hydrogéologie,na,na
2349,_00409,2557479,1132910,Vouvry,,,Hydrogéologie,na,na
2349,_00410,2557029,1133400,Vouvry,,,Hydrogéologie,na,na
2349,_00411,2557044,1133385,Vouvry,,,Hydrogéologie,na,na
2350,_00412,2605903,1120596,Chalais,,,Géotechnique,na,na
2351,_00413,2595253,1125131,Arbaz,,,Géotechnique,na,na
2352,_00414,2597339,1114901,Hérémence,,,Géologie,na,na
2352,_00415,2588440,1116622,Vétroz,,,Géologie,na,na
2353,_00416,2588501,1117689,Vétroz,,,Géotechnique,na,na
2354,_00417,2580551,1118271,Chamoson,,,Géologie,na,na
2355,_00418,2595089,1120225,Sion,,,Géotechnique,na,na
2356,_00419,2586875,1117776,Vétroz,,,Hydrogéologie,na,na
2357,_00420,2593725,1119481,Sion,,,Géotechnique,na,na
2358,_00421,2586832,1117819,Vétroz,,,Hydrogéologie,na,na
2360,_00422,2589877,1122691,Conthey,,,Géotechnique,na,na
2361,_00423,2593566,1122169,Savièse,,,Géotechnique,na,na
2362,_00424,2580092,1116347,Leytron,,,Géotechnique,na,na
2368,_00425,2606743,1125986,Sierre,,,Géotechnique,na,na
2369,_00426,2597318,1114682,Hérémence,,,Géotechnique,na,na
2370,_00427,2589205,1114779,Nendaz,,,Géotechnique,na,na
2372,_00428,2598423,1122651,St-Léonard,,,Géotechnique,na,na
2373,_00429,2574281,1109637,Fully,,,Géotechnique,na,na
2374,_00430,2596096,1123301,Grimisuat,,,Géotechnique,na,na
2376,_00431,2589851,1116738,Nendaz,,,Géotechnique,na,na
2377,_00432,2579936,1113087,Saillon,,,Géotechnique,na,na
2380,_00433,2593239,1119780,Sion,,,Géotechnique,na,na
2381,_00434,2594430,1120838,Sion,,,Géotechnique,na,na
2383,_00435,2596857,1117906,Vex,,,na,na,na
2386,_00436,2603401,1128840,Crans-Montana,,,Géotechnique,na,na
2387,_00437,2607355,1127514,Noble-Contrée,,,Géotechnique,na,na
2390,_00438,2624903,1098685,Zermatt,,,Géotechnique,na,na
2392,_00439,2597331,1127359,Ayent,,,Géotechnique,na,na
2395,_00440,2573073,1108556,Fully,,,Géotechnique,na,na
2396,_00441,2575454,1109682,Fully,,,Géotechnique,na,na
2397,_00442,2575425,1109780,Fully,,,na,na,na
2398,_00443,2589897,1120450,Conthey,,,Géotechnique,na,na
2402,_00444,2612034,1104948,Anniviers,,,Géologie,na,na
